time_recorded,lat,lon,total_gps_pings,n_buses,busy_index
08:00:00,32.174,34.915,25,6,0.4
08:10:00,31.917,35.08,30,3,1.0
08:10:00,32.015,34.749,6,2,0.3
08:10:00,32.051,34.849,6,2,0.3
08:10:00,32.053,34.848,13,2,0.6
08:10:00,32.056,34.779,7,2,0.3
08:10:00,32.057,34.834,7,2,0.3
08:10:00,32.059,34.845,10,2,0.5
08:10:00,32.059,34.846,10,3,0.3
08:10:00,32.063,34.828,11,2,0.5
08:10:00,32.064,34.784,7,2,0.3
08:10:00,32.066,34.772,9,2,0.4
08:10:00,32.067,34.765,6,2,0.3
08:10:00,32.068,34.765,12,3,0.4
08:10:00,32.073,34.768,6,2,0.3
08:10:00,32.074,34.791,12,3,0.4
08:10:00,32.075,34.791,14,4,0.3
08:10:00,32.076,34.834,10,3,0.3
08:10:00,32.077,34.834,17,4,0.4
08:10:00,32.079,34.814,13,3,0.4
08:10:00,32.08,34.835,6,2,0.3
08:10:00,32.081,34.809,11,3,0.3
08:10:00,32.081,34.812,6,2,0.3
08:10:00,32.081,34.834,7,2,0.3
08:10:00,32.081,34.835,7,2,0.3
08:10:00,32.082,34.806,8,2,0.4
08:10:00,32.082,34.835,6,2,0.3
08:10:00,32.082,34.883,6,2,0.3
08:10:00,32.083,34.805,6,2,0.3
08:10:00,32.083,34.806,13,4,0.3
08:10:00,32.083,34.807,12,3,0.4
08:10:00,32.083,34.898,6,2,0.3
08:10:00,32.084,34.787,6,2,0.3
08:10:00,32.084,34.803,12,4,0.3
08:10:00,32.084,34.807,6,2,0.3
08:10:00,32.084,34.815,6,2,0.3
08:10:00,32.085,34.84,8,2,0.4
08:10:00,32.086,34.888,6,2,0.3
08:10:00,32.086,34.889,8,2,0.4
08:10:00,32.087,34.887,18,4,0.4
08:10:00,32.088,34.807,6,2,0.3
08:10:00,32.088,34.893,6,2,0.3
08:10:00,32.09,34.826,9,3,0.3
08:10:00,32.092,34.847,6,2,0.3
08:10:00,32.092,34.863,42,11,0.3
08:10:00,32.092,34.864,36,8,0.4
08:10:00,32.092,34.865,9,3,0.3
08:10:00,32.092,34.866,33,9,0.3
08:10:00,32.092,34.867,7,2,0.3
08:10:00,32.093,34.845,6,2,0.3
08:10:00,32.095,34.886,16,3,0.5
08:10:00,32.095,34.887,16,5,0.3
08:10:00,32.105,34.891,19,2,0.9
08:10:00,32.113,34.843,13,2,0.6
08:10:00,32.139,35.008,18,2,0.9
08:10:00,32.158,34.81,7,2,0.3
08:10:00,32.174,34.915,7,2,0.3
08:20:00,31.796,35.189,7,2,0.3
08:20:00,31.89,34.732,6,2,0.3
08:20:00,31.917,35.08,27,3,0.9
08:20:00,32.002,34.747,9,2,0.4
08:20:00,32.05,34.759,6,2,0.3
08:20:00,32.057,34.834,6,2,0.3
08:20:00,32.058,34.835,13,4,0.3
08:20:00,32.059,34.846,11,2,0.5
08:20:00,32.063,34.862,12,4,0.3
08:20:00,32.067,34.765,6,2,0.3
08:20:00,32.072,34.773,7,2,0.3
08:20:00,32.072,34.841,6,2,0.3
08:20:00,32.073,34.768,6,2,0.3
08:20:00,32.074,34.791,11,3,0.3
08:20:00,32.075,34.782,6,2,0.3
08:20:00,32.075,34.791,39,8,0.4
08:20:00,32.076,34.834,6,2,0.3
08:20:00,32.077,34.888,9,3,0.3
08:20:00,32.078,34.834,11,3,0.3
08:20:00,32.08,34.834,6,2,0.3
08:20:00,32.08,34.835,6,2,0.3
08:20:00,32.081,34.809,9,3,0.3
08:20:00,32.081,34.812,9,2,0.4
08:20:00,32.082,34.776,8,2,0.4
08:20:00,32.083,34.805,12,4,0.3
08:20:00,32.083,34.806,6,2,0.3
08:20:00,32.084,34.806,6,2,0.3
08:20:00,32.084,34.807,7,2,0.3
08:20:00,32.084,34.808,7,2,0.3
08:20:00,32.086,34.815,12,2,0.6
08:20:00,32.086,34.888,9,3,0.3
08:20:00,32.088,34.893,8,2,0.4
08:20:00,32.089,34.808,8,2,0.4
08:20:00,32.09,34.81,6,2,0.3
08:20:00,32.09,34.88,7,2,0.3
08:20:00,32.09,34.886,7,2,0.3
08:20:00,32.091,34.823,7,2,0.3
08:20:00,32.091,34.869,9,3,0.3
08:20:00,32.091,34.87,19,6,0.3
08:20:00,32.091,34.886,10,3,0.3
08:20:00,32.092,34.823,8,2,0.4
08:20:00,32.092,34.847,6,2,0.3
08:20:00,32.092,34.863,23,6,0.3
08:20:00,32.092,34.864,30,7,0.4
08:20:00,32.092,34.865,9,3,0.3
08:20:00,32.092,34.866,28,8,0.3
08:20:00,32.094,34.883,11,3,0.3
08:20:00,32.094,34.885,11,2,0.5
08:20:00,32.095,34.887,16,3,0.5
08:20:00,32.095,34.888,8,2,0.4
08:20:00,32.096,34.89,6,2,0.3
08:20:00,32.097,34.829,7,2,0.3
08:20:00,32.099,34.896,6,2,0.3
08:20:00,32.105,34.891,19,2,0.9
08:20:00,32.133,34.832,6,2,0.3
08:20:00,32.139,35.008,16,2,0.8
08:20:00,32.789,34.962,8,2,0.4
08:30:00,31.79,35.198,9,3,0.3
08:30:00,31.917,35.08,28,3,0.9
08:30:00,32.002,34.747,6,2,0.3
08:30:00,32.037,34.831,9,3,0.3
08:30:00,32.042,34.829,8,2,0.4
08:30:00,32.057,34.784,11,2,0.5
08:30:00,32.058,34.784,10,2,0.5
08:30:00,32.071,34.772,10,3,0.3
08:30:00,32.072,34.773,8,2,0.4
08:30:00,32.074,34.791,7,2,0.3
08:30:00,32.075,34.791,19,6,0.3
08:30:00,32.077,34.834,13,4,0.3
08:30:00,32.078,34.791,8,2,0.4
08:30:00,32.078,34.834,6,2,0.3
08:30:00,32.08,34.834,9,3,0.3
08:30:00,32.081,34.835,15,4,0.3
08:30:00,32.082,34.795,7,2,0.3
08:30:00,32.082,34.806,6,2,0.3
08:30:00,32.083,34.804,6,2,0.3
08:30:00,32.083,34.805,10,3,0.3
08:30:00,32.083,34.806,21,4,0.5
08:30:00,32.084,34.788,13,3,0.4
08:30:00,32.084,34.806,24,6,0.4
08:30:00,32.084,34.807,12,4,0.3
08:30:00,32.084,34.815,6,2,0.3
08:30:00,32.085,34.815,7,2,0.3
08:30:00,32.086,34.789,10,2,0.5
08:30:00,32.088,34.887,7,2,0.3
08:30:00,32.09,34.821,9,3,0.3
08:30:00,32.09,34.886,7,2,0.3
08:30:00,32.091,34.822,7,2,0.3
08:30:00,32.091,34.823,9,2,0.4
08:30:00,32.091,34.847,7,2,0.3
08:30:00,32.091,34.869,7,2,0.3
08:30:00,32.091,34.87,6,2,0.3
08:30:00,32.091,34.871,8,2,0.4
08:30:00,32.092,34.862,9,3,0.3
08:30:00,32.092,34.863,35,11,0.3
08:30:00,32.092,34.864,21,6,0.3
08:30:00,32.092,34.865,11,2,0.5
08:30:00,32.092,34.866,34,10,0.3
08:30:00,32.092,34.867,7,2,0.3
08:30:00,32.093,34.816,11,3,0.3
08:30:00,32.093,34.817,11,2,0.5
08:30:00,32.093,34.848,6,2,0.3
08:30:00,32.094,34.883,6,2,0.3
08:30:00,32.094,34.885,6,2,0.3
08:30:00,32.095,34.833,6,2,0.3
08:30:00,32.095,34.886,18,5,0.3
08:30:00,32.095,34.887,24,7,0.3
08:30:00,32.102,34.828,6,2,0.3
08:30:00,32.105,34.891,16,2,0.8
08:30:00,32.139,35.008,17,2,0.8
08:30:00,32.158,34.81,18,5,0.3
08:40:00,31.917,35.08,28,3,0.9
08:40:00,31.966,34.803,7,2,0.3
08:40:00,32.038,34.831,6,2,0.3
08:40:00,32.051,34.849,13,2,0.6
08:40:00,32.056,34.781,6,2,0.3
08:40:00,32.058,34.784,6,2,0.3
08:40:00,32.063,34.828,11,2,0.5
08:40:00,32.074,34.791,19,5,0.3
08:40:00,32.075,34.791,39,9,0.4
08:40:00,32.076,34.791,10,3,0.3
08:40:00,32.077,34.834,14,4,0.3
08:40:00,32.079,34.821,7,2,0.3
08:40:00,32.079,34.836,8,2,0.4
08:40:00,32.079,34.842,8,2,0.4
08:40:00,32.08,34.834,11,3,0.3
08:40:00,32.08,34.835,15,3,0.5
08:40:00,32.081,34.809,7,2,0.3
08:40:00,32.083,34.805,6,2,0.3
08:40:00,32.083,34.806,7,2,0.3
08:40:00,32.083,34.807,6,2,0.3
08:40:00,32.084,34.787,7,2,0.3
08:40:00,32.084,34.788,7,2,0.3
08:40:00,32.084,34.806,19,5,0.3
08:40:00,32.084,34.807,15,5,0.3
08:40:00,32.084,34.808,7,2,0.3
08:40:00,32.087,34.829,6,2,0.3
08:40:00,32.09,34.81,9,3,0.3
08:40:00,32.09,34.839,7,2,0.3
08:40:00,32.092,34.827,7,2,0.3
08:40:00,32.092,34.847,9,3,0.3
08:40:00,32.092,34.863,43,12,0.3
08:40:00,32.092,34.864,22,6,0.3
08:40:00,32.092,34.866,43,12,0.3
08:40:00,32.092,34.867,8,2,0.4
08:40:00,32.093,34.817,6,2,0.3
08:40:00,32.094,34.884,8,2,0.4
08:40:00,32.095,34.886,6,2,0.3
08:40:00,32.095,34.887,7,2,0.3
08:40:00,32.095,34.89,8,2,0.4
08:40:00,32.097,34.829,6,2,0.3
08:40:00,32.105,34.891,18,2,0.9
08:40:00,32.139,35.008,17,2,0.8
08:40:00,32.174,34.915,6,2,0.3
08:50:00,31.917,35.08,24,3,0.8
08:50:00,32.037,34.831,9,3,0.3
08:50:00,32.051,34.849,18,3,0.6
08:50:00,32.064,34.784,6,2,0.3
08:50:00,32.074,34.791,10,3,0.3
08:50:00,32.075,34.782,11,3,0.3
08:50:00,32.075,34.791,14,4,0.3
08:50:00,32.076,34.791,9,3,0.3
08:50:00,32.077,34.834,6,2,0.3
08:50:00,32.079,34.794,6,2,0.3
08:50:00,32.08,34.835,6,2,0.3
08:50:00,32.082,34.796,6,2,0.3
08:50:00,32.082,34.798,6,2,0.3
08:50:00,32.082,34.835,6,2,0.3
08:50:00,32.083,34.805,9,3,0.3
08:50:00,32.084,34.788,8,2,0.4
08:50:00,32.084,34.803,9,3,0.3
08:50:00,32.086,34.839,10,2,0.5
08:50:00,32.086,34.887,9,3,0.3
08:50:00,32.087,34.815,6,2,0.3
08:50:00,32.087,34.889,7,2,0.3
08:50:00,32.088,34.807,7,2,0.3
08:50:00,32.089,34.808,7,2,0.3
08:50:00,32.089,34.869,7,2,0.3
08:50:00,32.09,34.81,6,2,0.3
08:50:00,32.09,34.82,8,2,0.4
08:50:00,32.09,34.826,6,2,0.3
08:50:00,32.091,34.822,13,4,0.3
08:50:00,32.091,34.825,14,2,0.7
08:50:00,32.091,34.885,10,2,0.5
08:50:00,32.092,34.822,7,2,0.3
08:50:00,32.092,34.863,22,6,0.3
08:50:00,32.092,34.864,17,4,0.4
08:50:00,32.092,34.865,10,3,0.3
08:50:00,32.092,34.866,9,3,0.3
08:50:00,32.095,34.886,10,2,0.5
08:50:00,32.095,34.887,11,3,0.3
08:50:00,32.103,34.828,7,2,0.3
08:50:00,32.105,34.828,13,4,0.3
08:50:00,32.105,34.891,19,2,0.9
08:50:00,32.175,34.89,6,2,0.3
09:00:00,31.917,35.08,23,3,0.7
09:00:00,32.036,34.83,6,2,0.3
09:00:00,32.051,34.849,6,2,0.3
09:00:00,32.056,34.78,10,2,0.5
09:00:00,32.063,34.785,9,3,0.3
09:00:00,32.071,34.79,7,2,0.3
09:00:00,32.073,34.768,6,2,0.3
09:00:00,32.075,34.791,21,6,0.3
09:00:00,32.076,34.845,9,2,0.4
09:00:00,32.077,34.768,10,2,0.5
09:00:00,32.08,34.834,7,2,0.3
09:00:00,32.08,34.835,7,2,0.3
09:00:00,32.081,34.834,6,2,0.3
09:00:00,32.081,34.835,6,2,0.3
09:00:00,32.083,34.804,9,3,0.3
09:00:00,32.083,34.805,15,5,0.3
09:00:00,32.083,34.806,23,5,0.4
09:00:00,32.083,34.841,6,2,0.3
09:00:00,32.084,34.789,19,4,0.4
09:00:00,32.084,34.806,22,5,0.4
09:00:00,32.084,34.807,10,3,0.3
09:00:00,32.085,34.836,6,2,0.3
09:00:00,32.088,34.887,10,2,0.5
09:00:00,32.09,34.81,6,2,0.3
09:00:00,32.09,34.821,10,3,0.3
09:00:00,32.09,34.826,6,2,0.3
09:00:00,32.091,34.822,6,2,0.3
09:00:00,32.092,34.847,6,2,0.3
09:00:00,32.092,34.857,17,2,0.8
09:00:00,32.092,34.863,6,2,0.3
09:00:00,32.093,34.844,12,2,0.6
09:00:00,32.093,34.885,7,2,0.3
09:00:00,32.094,34.886,7,2,0.3
09:00:00,32.098,34.829,14,2,0.7
09:00:00,32.105,34.891,14,2,0.7
